Price,Host_Response_Rate,Accommodates,Bathrooms,Bedrooms,Beds,Guests_Included,Review_Scores_Rating,Entire Home / Apt,Private Room,Shared Room,Property_Type)Apartment,Property_Type)Bed & Breakfast,Property_Type)Condominium,Property_Type)House,Property_Type)Loft,Property_Type)Other,Cancellation_Policy)flexible,Cancellation_Policy)moderate,Cancellation_Policy)strict,Cleaning Fee: No,Cleaning Fee: Yes
149,95,10,1,2,2,6,84,1,0,0,1,0,0,0,0,0,0,0,1,0,1
150,100,4,1,2,1,1,96,1,0,0,1,0,0,0,0,0,0,0,1,1,0
180,100,5,1,1,3,1,94,1,0,0,0,0,0,0,1,0,1,0,0,0,1
42,100,2,1,0,1,1,87,1,0,0,1,0,0,0,0,0,0,0,1,0,1
80,96,4,1,1,1,1,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
57,100,2,1,1,1,1,77,0,1,0,0,0,0,0,0,0,1,0,0,1,0
50,71,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
250,100,4,3,3,3,1,95,1,0,0,1,0,0,0,0,0,0,1,0,0,1
120,100,4,1,1,2,4,91,1,0,0,1,0,0,0,0,0,0,0,1,0,1
349,97,6,3,3,4,1,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
72,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,1,0,0,0,1
60,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,1,0,0,1
69,90,2,1,0,1,1,89,1,0,0,1,0,0,0,0,0,0,0,1,0,1
85,100,4,1,2,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
190,100,6,2,3,4,1,93,1,0,0,1,0,0,0,0,0,0,1,0,1,0
120,100,2,1,0,1,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
295,100,4,2,3,3,1,100,1,0,0,0,0,0,0,1,0,1,0,0,0,1
66,87,4,1,2,3,1,100,1,0,0,0,0,0,0,0,1,0,0,1,1,0
90,100,2,1,1,1,2,89,1,0,0,1,0,0,0,0,0,0,0,1,0,1
49,100,2,1.5,1,1,1,95,0,1,0,1,0,0,0,0,0,0,0,1,1,0
109,100,2,1,0,1,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
154,100,4,1,0,2,1,91,1,0,0,1,0,0,0,0,0,0,1,0,0,1
467,98,10,3,4,6,2,91,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,100,2,1,0,1,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
55,100,2,1.5,1,1,1,100,0,1,0,1,0,0,0,0,0,0,1,0,1,0
220,83,2,1,1,1,2,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1
60,0,2,1,0,1,1,70,1,0,0,1,0,0,0,0,0,1,0,0,0,1
99,98,4,1,0,2,1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,1
70,100,2,1,0,1,1,92,1,0,0,1,0,0,0,0,0,1,0,0,0,1
110,100,3,1,1,2,1,100,1,0,0,1,0,0,0,0,0,0,1,0,0,1
179,40,4,1,2,3,1,93,1,0,0,1,0,0,0,0,0,0,0,1,0,1
135,100,5,1,1,1,2,98,1,0,0,1,0,0,0,0,0,1,0,0,0,1
70,100,2,1,1,1,1,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
30,90,1,1,1,2,1,91,0,0,1,1,0,0,0,0,0,1,0,0,1,0
70,33,2,1,1,1,1,90,1,0,0,1,0,0,0,0,0,1,0,0,1,0
90,100,2,1,1,2,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
70,100,2,1,1,1,1,100,1,0,0,1,0,0,0,0,0,1,0,0,1,0
495,100,7,2,4,4,1,100,1,0,0,1,0,0,0,0,0,0,0,1,1,0
39,100,2,1,0,2,1,81,1,0,0,1,0,0,0,0,0,0,1,0,1,0
84,67,1,1,1,1,1,100,0,0,1,1,0,0,0,0,0,0,1,0,1,0
59,90,2,1,0,1,1,85,1,0,0,1,0,0,0,0,0,1,0,0,0,1
275,100,5,2.5,3,5,1,99,1,0,0,1,0,0,0,0,0,0,0,1,0,1
80,100,3,1,0,2,1,100,1,0,0,1,0,0,0,0,0,0,0,1,0,1
75,68,2,1,0,1,1,50,1,0,0,1,0,0,0,0,0,0,1,0,1,0
49,100,3,1,1,2,1,100,0,0,1,1,0,0,0,0,0,1,0,0,0,1
85,100,2,1,1,1,1,97,0,1,0,1,0,0,0,0,0,1,0,0,1,0
60,0,2,1,1,1,1,80,1,0,0,1,0,0,0,0,0,0,0,1,0,1
128,100,2,1,0,1,1,97,1,0,0,0,0,0,0,0,0,0,0,1,0,1
60,100,2,1,1,1,1,100,0,1,0,1,0,0,0,0,0,1,0,0,0,1
59,100,4,1,2,2,2,92,1,0,0,1,0,0,0,0,0,0,0,1,0,1
80,100,2,1,0,1,1,95,1,0,0,1,0,0,0,0,0,1,0,0,0,1
